event,nist.f1,nist.precision,nist.recall,wiki.f1,wiki.precision,wiki.recall
CrisisFACTS-001,0.613118,0.607441,0.619200,0.530278,0.489678,0.578545
CrisisFACTS-002,0.603708,0.599463,0.608414,0.545527,0.486395,0.621588
CrisisFACTS-003,0.640266,0.644394,0.636503,0.540261,0.483570,0.612408
CrisisFACTS-004,0.580876,0.581088,0.580841,0.498324,0.499241,0.497561
CrisisFACTS-005,0.624505,0.620841,0.628615,0.546201,0.500063,0.602036
CrisisFACTS-006,0.629411,0.613211,0.647058,0.552557,0.513004,0.598802
CrisisFACTS-007,0.574034,0.570351,0.577922,0.502795,0.499812,0.505920
CrisisFACTS-008,0.579346,0.572137,0.587160,0.516386,0.509195,0.524037
CrisisFACTS-009,0.589849,0.579551,0.601160,0.521315,0.497135,0.549008
CrisisFACTS-010,0.539738,0.537219,0.542816,0.507508,0.480131,0.538417
CrisisFACTS-011,0.584929,0.584297,0.585698,0.000000,0.000000,0.000000
CrisisFACTS-012,0.541760,0.537036,0.546708,0.000000,0.000000,0.000000
CrisisFACTS-013,0.608627,0.609467,0.608022,0.507653,0.474955,0.545453
CrisisFACTS-014,0.652125,0.658483,0.646350,0.497006,0.495349,0.498889
CrisisFACTS-015,0.591514,0.590219,0.593328,0.535723,0.497754,0.580440
CrisisFACTS-016,0.588953,0.587074,0.591479,0.498277,0.484401,0.513171
CrisisFACTS-017,0.576741,0.571791,0.581963,0.500104,0.452149,0.559761
CrisisFACTS-018,0.616166,0.619042,0.613623,0.518931,0.469754,0.580061
