event,nist.f1,nist.precision,nist.recall,wiki.f1,wiki.precision,wiki.recall
CrisisFACTS-001,0.250624,0.211702,0.339727,0.015283,0.007883,0.294444
CrisisFACTS-002,0.267524,0.231224,0.342717,0.021446,0.011051,0.417553
CrisisFACTS-003,0.280765,0.235745,0.378468,0.016177,0.008348,0.311792
CrisisFACTS-004,0.318682,0.290588,0.374456,0.036119,0.019321,0.316116
CrisisFACTS-005,0.214163,0.172733,0.314404,0.024016,0.012862,0.215556
CrisisFACTS-006,0.280825,0.270799,0.312247,0.022082,0.011773,0.206028
CrisisFACTS-007,0.193196,0.223256,0.179871,0.055217,0.038910,0.106276
CrisisFACTS-008,0.298648,0.333068,0.286415,0.033200,0.018205,0.213626
CrisisFACTS-009,0.213318,0.239624,0.245875,0.033659,0.019623,0.242778
CrisisFACTS-010,0.149192,0.114315,0.286098,0.023204,0.012812,0.189320
CrisisFACTS-011,0.145257,0.100190,0.359034,0.000000,0.000000,0.000000
CrisisFACTS-012,0.179170,0.179724,0.210144,0.000000,0.000000,0.000000
CrisisFACTS-013,0.229716,0.224260,0.286118,0.019199,0.010242,0.243693
CrisisFACTS-014,0.234355,0.295634,0.220883,0.053600,0.032229,0.221145
CrisisFACTS-015,0.233751,0.233564,0.287291,0.020736,0.010894,0.328307
CrisisFACTS-016,0.182192,0.182008,0.208195,0.034347,0.019665,0.178250
CrisisFACTS-017,0.224246,0.266495,0.219846,0.018630,0.009963,0.233593
CrisisFACTS-018,0.228155,0.291395,0.211670,0.020362,0.010897,0.224767
